Hi-Vol,,LSC    (bgd 1.246 cpm),,,,Efficency,,N0 / SCM Flow,,,[2]Bulk,,SO4 Anions,,  SO4 Rev
Sample ID,Range Collected,CPM,CPM - bgd,DPM,σ ,N,Δt (days),N0,atoms/m3,Error Propogation,atoms/m3,,μS/mL,μmol/m3,Bulk μS
OC54c S35 1/2,4/27-5/4/2020,5.025,3.779,5.39786,0.677,981220.18,67,1668281.9,146,8.471E-05,292,,,,
OC55c S35 1/2,5/4-5/11/2020,7.730,6.484,9.26214,0.221,1683668.39,89,3407587.9,302,2.802E-05,605,,,,
OC55c S35 1/2,5/4-5/11/2020,6.211,4.965,7.09214,0.292,1289206.72,108,3033050.1,269,3.702E-05,538,,,,
OC56c S35 1/2,5/11-5/19/2020,7.000,5.754,8.21929,0.366,1494098.27,53,2273617.1,176,4.054E-05,353,,,,
,,,,,,,,,,,,,,,
UH31b S35 2/1 coarse,9/11-9/13/2019,1.747,0.501,0.71500,0.180,129972.40,13,144070.7,45,8.053E-05,90,,,,
UH32b S35 2/1 coarse,9/13-9/17/2019,2.482,1.236,1.76500,0.296,320840.95,7,339134.7,56,6.962E-05,112,,,,
UH33b S35 2/1 coarse,9/17-9/24/2019,3.043,1.797,2.56643,0.198,466524.30,10,504984.1,45,2.512E-05,90,,,,
UH36b S35 2/1 coarse,9/24-9/27/2019,5.003,3.757,5.36643,0.327,975507.11,10,1055926.9,200,8.831E-05,399,,,,
UH37b S35 2/1 coarse,9/27-9/30/2019,2.665,1.419,2.02643,0.154,368363.32,13,408320.2,87,4.665E-05,173,,,,
UH39b S35 2/1 coarse,9/30-10/3/2019,2.819,1.573,2.24643,0.252,408354.83,11,445534.6,97,7.842E-05,194,,,,
UH40b S35 2/1 coarse,10/3-10/7/2019,3.627,2.381,3.40071,0.363,618180.40,12,679828.5,112,8.540E-05,224,,,,
UH41b S35 2/1 coarse,10/7-10/10/2019,2.776,1.530,2.18500,0.228,397188.37,27,491910.1,110,7.283E-05,220,,,,
UH43b S35 2/1 coarse,10/10-10/14/2019,4.298,3.052,4.35929,0.261,792429.11,21,935853.0,163,6.483E-05,325,,,,
UH45b S35 2/1 coarse,10/14-10/18/2019,4.340,3.094,4.41929,0.154,803335.88,17,919142.8,150,3.582E-05,299,,,,
UH47b S35 2/1 coarse,10/18-10/22/2019,3.095,1.849,2.64071,0.232,480027.92,15,540594.5,111,6.787E-05,221,,,,
UH49b->a S35 2/1 coarse,10/22-10/25/2019,2.100,0.854,1.21929,0.122,221641.24,33,287860.4,99,5.966E-05,197,,,,
PH1a S35 2/1 coarse,10/25-10/28/2019,2.100,0.854,1.21929,0.297,221641.24,7,234278.8,52,9.355E-05,103,,,,
PH3a S35 2/1 coarse,10/28-11/1/2019,3.608,2.362,3.37357,0.085,613246.38,13,679766.0,100,1.790E-05,200,,,,
PH5a S35 2/1 coarse,11/1-11/5/2019,4.351,3.105,4.43500,0.491,806192.42,11,879594.4,143,1.142E-04,286,,,,
PH7a S35 2/1 coarse,11/5-11/8/2019,2.835,1.589,2.26929,0.323,412509.79,19,479513.4,94,9.085E-05,189,,,,
PH9a S35 2/1 coarse,11/8-11/12/19,3.302,2.056,2.93643,0.327,533782.74,14,596388.6,94,7.329E-05,187,,,,
PH15a S35 2/1 coarse,11/22-11/30/2019,4.764,3.518,5.02500,0.394,913442.37,36,1214880.3,95,4.381E-05,189,,,,
PH17a S35 2/1 coarse,11/30-12/5/2019,3.124,1.878,2.68214,0.262,487558.79,31,623272.0,80,4.796E-05,160,,,,
PH19a S35 2/1 coarse,12/5-12/9/19,2.867,1.621,2.31500,0.216,420819.72,9,451917.5,70,4.774E-05,140,,,,
PH21a S35 2/1 coarse,12/9-12/12/19,3.008,1.762,2.51643,0.343,457435.32,26,562054.7,116,1.012E-04,232,,,,
PH23a S35 2/1 coarse,12/12-12/16/19,2.857,1.611,2.30071,0.501,418222.87,27,517961.0,80,1.106E-04,160,,,,
PH25a S35 2/1 coarse,12/17-12/20/2019,3.253,2.007,2.86643,0.207,521058.17,40,715319.3,138,5.712E-05,276,,,,
PH27a S35 2/1 coarse,12/20-12/24/2019,3.614,2.368,3.38214,0.270,614804.49,9,660237.4,104,6.071E-05,208,,,,
PH29a S35 2/1 coarse,12/24-12/27/2019,2.879,1.633,2.33214,0.325,423935.94,12,466213.0,96,9.585E-05,193,,,,
PH31a S35 2/1 coarse,12/27-12/31/2019,2.498,1.252,1.78786,0.210,324995.91,38,439148.0,70,4.810E-05,141,,,,
PH33a S35 2/1 coarse,12/31-1/4/2020,2.949,1.703,2.43214,0.286,442113.90,18,509871.0,84,6.693E-05,167,,,,
PH35a S35 2/1 coarse,1/4-1/7/2020,2.975,1.729,2.46929,0.374,448865.71,5,467001.4,101,1.155E-04,202,,,,
PH37a S35 2/1 coarse,1/7-1/10/2020,1.981,0.735,1.04929,0.166,190738.71,26,234362.3,45,4.524E-05,89,,,,
PH39a S35 2/1 coarse,1/10-1/14/2020,2.878,1.632,2.33071,0.268,423676.25,20,496410.5,81,6.214E-05,161,,,,
PH41a S35 2/1 coarse,1/14-1/17/2020,3.779,2.533,3.61786,0.230,657652.53,10,711868.7,152,7.017E-05,304,,,,
PH43a S35 2/2 coarse,1/17-1/22/2020,6.477,5.231,7.47214,0.109,1358282.95,9,1458657.5,179,1.914E-05,359,,,,
PH47a S35 2/2 coarse,1/27-1/30/2020,2.090,0.844,1.20500,0.193,219044.39,14,244735.5,54,6.086E-05,108,,,,
PH49a S35 2/2 coarse,1/30-2/3/2020,2.536,1.290,1.84214,0.180,334863.95,7,353957.2,55,4.019E-05,111,,,,
PH51a S35 2/2 coarse,2/3-2/6/2020,3.035,1.789,2.55500,0.258,464446.81,8,494833.1,94,7.010E-05,188,,,,
PH53a S35 2/2 coarse,2/6-2/10/2020,3.623,2.377,3.39500,0.295,617141.66,14,689524.4,114,6.986E-05,229,,,,
PH55a S35 2/2 coarse,2/10-2/13/2020,3.344,2.098,2.99643,0.258,544689.51,6,571203.8,125,8.082E-05,250,,,,
PH57a S35 2/2 coarse,2/13-2/17/2020,4.518,3.272,4.67357,0.255,849559.83,6,890914.5,130,5.318E-05,260,,,,
PH59a S35 2/2 coarse,2/17-2/20/2020,4.137,2.891,4.12929,0.262,750619.80,6,787158.3,174,8.256E-05,347,,,,
PH61a S35 2/2 coarse,2/20-2/24/2020,3.621,2.375,3.39214,0.124,616622.29,8,656964.6,105,2.825E-05,210,,,,
,,,,,,,,,,,,,,,
UH31b S35 2/2 fine,9/11-9/13/2019,4.114,2.868,4.09643,0.857,744647.05,10,806035.0,252,3.834E-04,505,,,,
UH32b S35 2/2 fine,9/13-9/17/2019,5.659,4.413,6.30357,0.347,1145860.54,9,1230537.5,203,8.161E-05,405,,,,
UH33b S35 2/2 fine,9/17-9/24/2019,7.534,6.288,8.98214,0.537,1632770.11,15,1838781.7,163,6.812E-05,327,,,,
UH36b S35 2/2 fine,9/24-9/27/2019,7.251,6.005,8.57786,0.683,1559279.23,7,1648186.3,312,1.844E-04,623,,,,
UH37b S35 2/2 fine,9/27-9/30/2019,5.023,3.777,5.39500,0.271,980700.81,8,1044862.8,222,8.209E-05,443,,,,
UH39b S35 2/1 fine,9/30-10/3/2019,5.257,4.011,5.72929,0.086,1041467.12,11,1136290.4,248,2.676E-05,495,,,,
UH40b S35 2/2 fine,10/3-10/7/2019,8.498,7.252,10.35929,0.110,1883106.56,13,2087369.6,344,2.588E-05,687,,,,
UH41b S35 2/2 fine,10/7-10/10/2019,5.602,4.356,6.22214,0.332,1131058.49,14,1263717.1,283,1.060E-04,565,,,,
UH43b S35 2/2 fine,10/10-10/14/2019,8.823,7.577,10.82357,0.420,1967504.22,23,2360715.0,410,1.043E-04,821,,,,
UH45b S35 2/2 fine,10/14-10/18/2019,9.048,7.802,11.14500,0.781,2025933.37,20,2373733.8,386,1.816E-04,773,,,,
UH47b S35 2/2 fine,10/18-10/22/2019,3.721,2.475,3.53500,0.250,642590.80,7,679230.1,139,7.314E-05,278,,,,
PH1a S35 2/2 fine,10/25-10/28/2019,7.681,6.435,9.19214,0.520,1670943.82,19,1942353.9,428,1.638E-04,857,,,,
PH3a S35 2/2 fine,10/28-11/1/2019,15.333,14.087,20.12357,0.766,3658054.26,12,4022853.9,593,1.613E-04,1186,,,,
PH5a S35 2/2 fine,11/1-11/5/2019,8.343,7.097,10.13786,0.323,1842855.36,22,2193707.9,357,7.513E-05,714,,,,
PH7a S35 2/2 fine,11/5-11/8/2019,7.747,6.501,9.28643,0.288,1688083.04,11,1841779.3,363,8.101E-05,725,,,,
PH9a S35 2/2 fine,11/8-11/12/2019,5.352,4.106,5.86500,0.327,1066137.21,45,1522749.7,239,7.329E-05,478,,,,
PH11a S35 2/2 fine,11/12-11/15/2019,4.221,2.975,4.24929,0.227,772433.35,44,1094551.2,226,6.693E-05,452,,,,
PH13a S35 2/2 fine,11/15-11/22/19,7.697,6.451,9.21500,0.310,1675098.79,38,2263463.3,202,3.958E-05,405,,,,
PH15a S35 2/2 fine,11/22-11/30/19,5.134,3.888,5.55357,0.249,1009525.85,34,1321566.7,206,2.769E-05,411,,,,
PH17a S35 2/2 fine,11/30-12/5/2019,3.935,2.689,3.84071,0.261,698163.41,40,958452.9,123,4.778E-05,246,,,,
PH19a S35 2/2 fine,12/5-12/9/19,4.141,2.895,4.13500,0.334,751658.54,11,820095.4,127,7.382E-05,254,,,,
PH21a S35 2/2 fine,12/9-12/12/19,2.693,1.447,2.06643,0.296,375634.51,34,491741.8,102,8.732E-05,203,,,,
PH23a S35 2/2 fine,12/12-12/16/19,3.823,2.577,3.68071,0.151,669078.68,32,862120.9,133,3.334E-05,266,,,,
PH25a S35 2/2 fine,12/17-12/20/19,7.602,6.356,9.07929,0.350,1650428.70,31,2109829.7,408,9.657E-05,815,,,,
PH27a S35 2/2 fine,12/20-12/24/19,6.354,5.108,7.29643,0.320,1326341.69,42,1849906.7,291,7.195E-05,582,,,,
PH29a S35 2/2 fine,12/24-12/27/19,4.208,2.962,4.23071,0.572,769057.45,45,1098434.6,227,1.687E-04,454,,,,
PH31a S35 2/2 fine,12/27-12/31/19,5.249,4.003,5.71786,0.281,1039389.64,46,1496353.3,240,6.436E-05,480,,,,
PH33a S35 2/2 fine,12/31-1/4/2020,5.064,3.818,5.45357,0.369,991347.90,47,1438540.9,236,8.636E-05,471,,,,
PH35a S35 2/2 fine,1/4-1/7/2020,4.175,2.929,4.18357,0.177,760487.84,44,1077624.3,233,5.466E-05,466,,,,
PH37a S35 2/2 fine,1/7-1/10/20,2.627,1.381,1.97214,0.185,358495.29,47,520211.0,99,5.041E-05,198,,,,
PH39a S35 2/2 fine,1/10-1/14/2020,4.154,2.908,4.15357,0.301,755034.45,45,1078405.7,175,6.979E-05,350,,,,
PH43a S35 2/2 fine,1/17-1/22/2020,8.836,7.590,10.84214,0.333,1970880.12,8,2099824.3,258,5.849E-05,516,,,,
PH45a S35 2/2 fine,1/22-1/27/2020,4.358,3.112,4.44500,0.257,808010.21,36,1074655.3,134,4.564E-05,267,,,,
PH47a S35 2/2 fine,1/27-1/30/20,3.153,1.907,2.72357,0.277,495089.66,37,663707.2,147,8.735E-05,293,,,,
PH49a S35 2/2 fine,1/30-2/3/20,4.828,3.582,5.11643,0.230,930062.21,35,1227224.4,271,7.253E-05,542,,,,
PH51a S35 2/2 fine,2/3-2/6/2020,7.195,5.949,8.49786,0.245,1544736.86,43,2171647.1,413,6.657E-05,826,,1.913,,
PH53a S35 2/2 fine,2/6-2/10/20,7.027,5.781,8.25786,0.344,1501109.76,7,1586700.1,263,8.146E-05,526,,,,
PH55a S35 2/2 fine,2/10-2/13/20,5.012,3.766,5.37929,0.295,977844.27,22,1164011.4,255,9.241E-05,510,,,,
PH57a S35 2/2 fine,2/13-2/17/2020,3.907,2.661,3.80071,0.283,690892.23,137,2045207.0,299,5.902E-05,597,,,,
PH59a S35 2/2 fine,2/17-2/20/2020,5.786,4.540,6.48500,0.533,1178840.54,7,1246055.7,275,1.680E-04,550,,,,
PH63a S35 2/2 fine,2/24-2/27/2020,8.883,7.637,10.90929,0.491,1983085.32,16,2251059.0,453,1.412E-04,906,,,,
PH71a S35 2/2 fine,3/9-3/12/2020,2.897,1.651,2.35786,0.262,428610.27,7,453048.8,89,7.352E-05,178,,1.0315,,
PH73a S35 2/2 fine,3/12-3/16/2020,5.029,3.783,5.40357,0.379,982258.92,11,1071691.4,172,8.665E-05,343,,0.571,,
PH79a S35 2/2 fine,3/23-3/28/2020,6.544,5.298,7.56786,0.324,1375681.86,24,1663743.0,210,5.839E-05,420,,,,
PH81a S35 2/2 fine,3/28-3/30/2020,5.118,3.872,5.53071,0.347,1005370.89,17,1150302.7,354,1.524E-04,707,,1.478,,
