Hi-Vol,,LSC    (bgd 1.246 cpm),,,,Efficency,,N0 / SCM Flow,,,[2]Bulk,,SO4 Anions,,  SO4 Rev
Sample ID,Range Collected,CPM,CPM - bgd,DPM,σ ,N,Δt (days),N0,atoms/m3,Error Propogation,atoms/m3,,μS/mL,μmol/m3,Bulk μS
PH12b S35 1/2,11/12-11/15/2019,5.168,3.922,5.60214,0.316,1018355.15,9,1093609.7,226,9.32E-05,451,,,,5.7511
PH14b S35 1/2,11/15-11/22/2019,8.833,7.587,10.83786,0.342,1970101.07,17,2254106,201,4.37E-05,403,,,,5.3162
PH16b S35 1/2,11/22-11/30/19,8.39,7.144,10.205,0.598,1855060.56,18,2139361.9,167,6.65E-05,333,,,,4.1319
PH18b S35 1/2,11/30-12/5/19,4.479,3.233,4.61786,0.145,839432.11,13,930486.4,119,2.65E-05,238,,,,
PH20b S35 1/2,12/5-12/9/19,3.913,2.667,3.80929,0.219,692450.34,8,737753.7,114,4.84E-05,228,,,,
PH22b S35 1/2,12/9-12/12/19,3.022,1.776,2.53643,0.223,461070.91,6,483514.8,100,6.58E-05,200,,,,
PH24b S35 1/2,12/12-12/16/19,4.543,3.297,4.70929,0.323,856051.96,9,919312.6,142,7.13E-05,284,,,,3.6178
PH26b S35 1/2,12/17-12/20/19,6.962,5.716,8.165,0.387,1484230.23,11,1619366.1,313,1.07E-04,626,,,,1.7077
PH28b S35 1/2,12/20-12/24/19,6.388,5.142,7.345,0.312,1335170.98,9,1433837.6,226,7.02E-05,451,,,,1.9562
PH30b S35 1/2,12/24-12/27/2019,3.61,2.364,3.37643,0.204,613765.75,8,653921.2,135,6.02E-05,270,,,,1.2633
PH32b S35 1/2,12/27-12/31/2019,5.026,3.78,5.39929,0.339,981479.86,10,1062392.1,170,7.77E-05,341,,,,1.3549
PH34b S35 1/2,12/31-1/4/2020,5.985,4.739,6.76929,0.306,1230517.88,7,1300679.6,213,7.16E-05,426,,,,2.8406
PH36b S35 1/2,1/4-1/7/2020,4.996,3.75,5.35643,0.502,973689.31,4,1005036.4,217,1.55E-04,435,,,,2.6084
PH38b S35 1/2,1/7-1/10/20,3.165,1.919,2.74071,0.295,498205.88,16,565528.3,108,8.04E-05,216,,,,1.9628
PH40b S35 1/2,1/10-1/14/20,4.337,3.091,4.415,0.389,802556.82,12,882591.8,189,1.19E-04,377,,,,3.2861
PH42b S35 1/2,1/14-1/17/2020,5.192,3.946,5.63643,0.361,1024587.59,8,1091620.9,177,8.37E-05,354,,,,3.0445
PH44b S35 1/2,1/17-1/22/2020,9.561,8.315,11.87786,0.571,2159151.83,7,2282262.4,281,1.00E-04,561,,,,16.4518
PH44b S35 1/2,1/17-1/22/2020,4.304,3.058,4.36786,0.282,793987.22,68,1360682.6,167,4.95E-05,335,,,,16.4518
PH46b S35 1/2,1/22-1/27/2020,5.458,4.212,6.01643,0.316,1093663.83,8,1165216.4,145,5.61E-05,290,,,,6.1954
PH48b S35 1/2,1/27-1/30/2020,3.097,1.851,2.64357,0.171,480547.29,4,496018.1,109,5.39E-05,219,,,,4.0194
PH50b S35 1/2,1/30-2/3/2020,5.686,4.44,6.34214,0.527,1152872.03,6,1208991.3,189,1.18E-04,378,,,,2.8229
PH52b S35 1/2,2/3-2/6/2020,7.626,6.38,9.11357,0.286,1656661.14,7,1751120.7,333,7.77E-05,666,,4.34,,5.7445
PH52b S35 1/2,2/3-2/6/2020,4.544,3.298,4.71071,0.386,856311.64,51,1282594.4,244,1.05E-04,488,,4.34,,5.7445
PH54b S35 1/2,2/6-2/10/2020,5.911,4.665,6.66357,0.263,1211301.18,6,1270264.6,211,6.23E-05,421,,5.249,,3.2965
